TransactionDate,Location,ItemName,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_TotalQty,PerInvoiceAverageAmount
8-Nov-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,33998
13-Oct-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,73816.29
11-Oct-22,Tista,Fresmin F 10kg,2178,1,0,1,4595,4595,0,53106.77
30-Sep-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,72218.95
26-Sep-22,Tista,Clean 100ml,250,0,1,1,940,0,0,31710.1
10-Sep-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,24413.58
4-Sep-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,15288.78
25-Aug-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,33998
24-Aug-22,Tista,Clean 100ml,250,100,12,112,940,94000,0,89936.3
21-Aug-22,Tista,Clean 100ml,250,5,0,5,940,4700,0,11361.43
14-Aug-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,51194.21
14-Aug-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,29123.65
8-Aug-22,Tista,Clean 100ml,250,50,4,54,940,47000,0,89936.3
2-Aug-22,Tista,Clean 100ml,250,50,4,54,940,47000,0,87161.63
31-Jul-22,Tista,Clean 100ml,250,5,0,5,940,4700,0,14263.68
28-Jul-22,Tista,Clean 100ml,250,20,1,21,940,18800,0,12169.88
28-Jul-22,Tista,Clean 100ml,250,5,0,5,940,4700,0,21946.46
24-Jul-22,Tista,Clean 100ml,250,100,11,111,940,94000,0,75035.99
12-May-22,Tista,Clean 100ml,1,20,1,21,940,18800,0,73816.29
11-May-22,Tista,Clean 100ml,1,20,1,21,940,18800,0,28887.81
24-Apr-22,Tista,Clean 100ml,1,40,3,43,940,37600,0,17329.63
24-Apr-22,Tista,Clean 100ml,1,20,1,21,940,18800,0,72218.95
24-Apr-22,Tista,Clean 100ml,1,5,0,5,940,4700,0,21946.46
24-Apr-22,Tista,Clean 100ml,1,5,0,5,940,4700,0,31282.74
24-Apr-22,Tista,Clean 100ml,1,20,1,21,940,18800,0,89936.3
22-Oct-23,Turag,Clean 100ml,250,100,8,108,940,94000,0,96198.85
4-Oct-23,Turag,Clean 100ml,250,45,3,48,940,42300,0,58121.87
3-Oct-23,Turag,Clean 100ml,250,200,24,224,940,188000,0,59353.19
1-Oct-23,Turag,Clean 100ml,250,41,2,43,940,38540,0,45183.82
20-Sep-23,Turag,Clean 100ml,250,45,3,48,940,42300,0,30232.75
11-Sep-23,Turag,Clean 100ml,250,45,0,45,940,42300,0,78352.4
